person_id,name,eligible,missed
412633,Rep. Bruce Poliquin [R-ME2],519,4
412308,Rep. Jared Polis [D-CO2],519,7
412431,Rep. Mike Pompeo [R-KS4],519,7
400325,Sen. Robert “Rob” Portman [R-OH],271,5
412309,Rep. Bill Posey [R-FL8],519,4
400326,Rep. David Price [D-NC4],518,18
400626,Rep. Tom Price [R-GA6],519,20
412331,Rep. Mike Quigley [D-IL5],519,15
400333,Rep. Charles “Charlie” Rangel [D-NY13],514,32
412653,Rep. John Ratcliffe [R-TX4],519,0
300081,Sen. John “Jack” Reed [D-RI],271,0
412393,Rep. Tom Reed [R-NY23],519,2
400660,Rep. David Reichert [R-WA8],519,5
300082,Sen. Harry Reid [D-NV],271,55
412462,Rep. James Renacci [R-OH16],519,3
412489,Rep. Reid Ribble [R-WI8],519,20
412647,Rep. Kathleen Rice [D-NY4],519,11
412572,Rep. Tom Rice [R-SC7],519,1
412432,Rep. Cedric Richmond [D-LA2],519,33
412483,Rep. Edward “Scott” Rigell [R-VA2],519,0
412322,Sen. James Risch [R-ID],271,2
300083,Sen. Pat Roberts [R-KS],271,1
412394,Rep. Martha Roby [R-AL2],519,0
412310,Rep. David “Phil” Roe [R-TN1],519,107
400340,Rep. Harold “Hal” Rogers [R-KY5],519,4
400341,Rep. Mike Rogers [R-AL3],519,9
400343,Rep. Dana Rohrabacher [R-CA48],519,26
412426,Rep. Todd Rokita [R-IN4],519,12
412311,Rep. Thomas Rooney [R-FL17],519,6
400344,Rep. Ileana Ros-Lehtinen [R-FL27],519,1
412202,Rep. Peter Roskam [R-IL6],519,40
412411,Rep. Dennis Ross [R-FL15],519,1
412570,Rep. Keith Rothfus [R-PA12],519,2
412669,Sen. Mike Rounds [R-SD],271,1
412641,Rep. David Rouzer [R-NC7],519,2
400347,Rep. Lucille Roybal-Allard [D-CA40],519,14
400348,Rep. Edward “Ed” Royce [R-CA39],519,8
412491,Sen. Marco Rubio [R-FL],271,80
412519,Rep. Raul Ruiz [D-CA36],519,53
400349,Rep. A. Dutch Ruppersberger [D-MD2],519,0
400350,Rep. Bobby Rush [D-IL1],519,70
412650,Rep. Steve Russell [R-OK5],519,4
400351,Rep. Paul Ryan [R-WI1],519,6
400352,Rep. Tim Ryan [D-OH13],519,36
400606,Rep. Matt Salmon [R-AZ5],519,4
400356,Rep. Loretta Sanchez [D-CA46],519,103
400357,Sen. Bernard “Bernie” Sanders [I-VT],271,9
400607,Rep. Marshall “Mark” Sanford [R-SC1],519,14
412212,Rep. John Sarbanes [D-MD3],519,15
412671,Sen. Benjamin Sasse [R-NE],271,2
412261,Rep. Steve Scalise [R-LA1],519,8
400360,Rep. Janice “Jan” Schakowsky [D-IL9],519,9
412507,Sen. Brian Schatz [D-HI],271,3
400361,Rep. Adam Schiff [D-CA28],519,1
412314,"Rep. Aaron Schock [R-IL18, 2009-2015]",144,17
412315,Rep. Kurt Schrader [D-OR5],519,12
300087,Sen. Charles “Chuck” Schumer [D-NY],271,2
412399,Rep. David Schweikert [R-AZ6],519,1
412417,Rep. Austin Scott [R-GA8],519,18
400363,Rep. David Scott [D-GA13],519,22
400364,Rep. Robert “Bobby” Scott [D-VA3],519,3
412471,Sen. Tim Scott [R-SC],271,4
400365,Rep. James Sensenbrenner [R-WI5],519,0
400366,Rep. José Serrano [D-NY15],519,0
300088,Sen. Jefferson “Jeff” Sessions [R-AL],271,4
400367,Rep. Pete Sessions [R-TX32],519,2
412396,Rep. Terri Sewell [D-AL7],519,39
412323,Sen. Jeanne Shaheen [D-NH],271,1
300089,Sen. Richard Shelby [R-AL],271,6
400371,Rep. Brad Sherman [D-CA30],519,5
400373,Rep. John Shimkus [R-IL15],519,5
409888,Rep. Bill Shuster [R-PA9],519,3
400376,Rep. Michael “Mike” Simpson [R-ID2],519,6
412509,Rep. Kyrsten Sinema [D-AZ9],519,5
412186,Rep. Albio Sires [D-NJ8],519,12
400378,Rep. Louise Slaughter [D-NY25],519,17
400379,Rep. Adam Smith [D-WA9],519,132
412217,Rep. Adrian Smith [R-NE3],519,3
400380,Rep. Christopher “Chris” Smith [R-NJ4],519,6
412596,Rep. Jason Smith [R-MO8],519,9
400381,Rep. Lamar Smith [R-TX21],519,4
412259,Rep. Jackie Speier [D-CA14],519,60
300093,Sen. Debbie Stabenow [D-MI],271,3
412648,Rep. Elise Stefanik [R-NY21],519,0
412581,Rep. Chris Stewart [R-UT2],519,31
412461,Rep. Steve Stivers [R-OH15],519,18
412392,Rep. Marlin Stutzman [R-IN3],519,10
412665,Sen. Dan Sullivan [R-AK],271,8
412514,Rep. Eric Swalwell [D-CA15],519,7
400355,Rep. Linda Sánchez [D-CA38],519,12
412626,Rep. Mark Takai [D-HI1],519,4
412520,Rep. Mark Takano [D-CA41],519,0
412244,Sen. Jon Tester [D-MT],271,1
400402,Rep. Bennie Thompson [D-MS2],519,28
412317,Rep. Glenn Thompson [R-PA5],519,1
400403,Rep. Mike Thompson [D-CA5],519,32
400404,Rep. Mac Thornberry [R-TX13],519,1
400546,Sen. John Thune [R-SD],271,2
400406,Rep. Patrick “Pat” Tiberi [R-OH12],519,17
412668,Sen. Thom Tillis [R-NC],271,0
412405,Rep. Scott Tipton [R-CO3],519,9
412318,Rep. Dina Titus [D-NV1],519,12
412319,Rep. Paul Tonko [D-NY20],514,4
400408,Sen. Patrick “Pat” Toomey [R-PA],271,16
412617,Rep. Norma Torres [D-CA35],519,3
412636,Rep. Dave Trott [R-MI11],519,4
412254,Rep. Niki Tsongas [D-MA3],519,43
400411,Rep. Michael Turner [R-OH10],519,13
400413,Sen. Tom Udall [D-NM],271,3
400414,Rep. Fred Upton [R-MI6],519,0
412515,Rep. David Valadao [R-CA21],519,4
400415,Rep. Chris Van Hollen [D-MD8],519,5
412522,Rep. Juan Vargas [D-CA51],519,7
412579,Rep. Marc Veasey [D-TX33],519,1
412580,Rep. Filemon Vela [D-TX34],519,7
400416,Rep. Nydia Velázquez [D-NY7],514,3
400417,Rep. Peter Visclosky [D-IN1],519,8
400418,Sen. David Vitter [R-LA],271,28
412548,Rep. Ann Wagner [R-MO2],519,55
412213,Rep. Tim Walberg [R-MI7],519,6
400419,Rep. Greg Walden [R-OR2],519,7
412670,Rep. Mark Walker [R-NC6],519,2
